datetime,ticker,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,daily_return,estrategia_optima
2021-07-21,A,149.65,149.71,147.6,148.93,-1,148.531,141.7974,125.47915,60.66112166424792,146.73273299798652,148.531,150.3292670020135,1.7840357534686007,-0.4939865661413463,2.278022319609947,1.8293711358052047,-0.00254504051972404,1
2021-07-22,A,149.78,150.49,148.67,150.31,-1,148.68400000000003,142.1756,125.71520000000001,65.2195641989021,146.8249634640197,148.68400000000003,150.54303653598035,1.7861598581752673,-0.3934899691477436,2.179649827323011,1.8287017689619773,0.00926609816692392,1
2021-07-23,A,150.53,152.42,150.45,152.3,-1,148.96550000000002,142.6492,125.96859999999998,70.52381922166971,146.72470620267953,148.96550000000002,151.2062937973205,1.9262153834220896,-0.2027475551207374,2.128962938542827,1.8487944997504067,0.01323930543543339,1
2021-07-26,A,152.01,152.21,149.79,150.28,-1,149.12,143.0542,126.20055,60.446529902818334,146.97040517893677,149.12,151.26959482106324,1.8528547221947065,-0.2208865730784968,2.0737412952732033,1.8960234640539504,-0.013263296126067026,1
2021-07-27,A,149.15,150.0,148.85,149.97,-1,149.22150000000002,143.43,126.42955,59.05196959826427,147.11523590899486,149.22150000000002,151.32776409100518,1.7495339224046518,-0.25936589829484147,2.0088998206994932,1.862736073764383,-0.002062816076656926,1
2021-07-28,A,150.14,151.98,149.54,151.47,-1,149.355,143.857,126.65815,63.44646989648298,147.03373446494894,149.355,151.67626553505104,1.7683049889805034,-0.19247586537519212,1.9607808543556955,1.9039692113526412,0.010002000400080036,1
2021-07-29,A,151.85,153.5,151.43,152.68,-1,149.6,144.33520000000001,126.89444999999999,66.56373038184543,146.96546019198692,149.6,152.23453980801307,1.8593842577908504,-0.08111727725187623,1.9405015350427266,1.9158285533988808,0.007988380537400142,1
2021-07-30,A,152.13,153.61,152.06,153.25,-1,149.8725,144.7952,127.1337,67.95030069543213,146.91432933483944,149.8725,152.83067066516057,1.9550231805591807,0.011617316413162992,1.9434058641460177,1.8896979424418188,0.003733298401886298,1
2021-08-02,A,153.9,154.24,152.56,153.09,-1,150.0865,145.2134,127.37385,67.10903174102063,146.8461733433014,150.0865,153.32682665669861,1.9949109612972222,0.04120407772096346,1.9537068835762588,1.8747195179816896,-0.0010440456769983397,1
2021-08-03,A,153.57,153.98,152.74,153.87,-1,150.32999999999998,145.6446,127.6165,69.11641583689959,146.72234147957337,150.32999999999998,153.9376585204266,2.065650265735343,0.0895547057272672,1.9760955600080756,1.8293824095544247,0.0050950421320792305,1
2021-08-04,A,153.55,154.7,153.48,154.28,-1,150.5705,146.0622,127.8544,70.14776244982791,146.58293261069892,150.5705,154.5580673893011,2.1302391764405684,0.1233148931459942,2.006924283294574,1.7858550945862512,0.002664586989016726,1
2021-08-05,A,154.13,155.15,153.35,155.07,-1,150.8835,146.4974,128.102,72.08233057903043,146.5133848624096,150.8835,155.2536151375904,2.219586736948173,0.17012996292287896,2.0494567740252942,1.7868654449729484,0.005120560020741349,1
2021-08-06,A,155.42,155.89,154.46,155.69,-1,151.168,146.9444,128.35235,73.53202711931597,146.32481444545047,151.168,156.01118555454954,2.313752640628536,0.21143669328259307,2.102315947345943,1.7613750560463077,0.003998194363835639,1
2021-08-09,A,155.34,156.79,154.96,156.55,-1,151.5195,147.325,128.6112,75.43733381333658,146.18446988613957,151.5195,156.85453011386042,2.42976578293505,0.2619598684712856,2.1678059144637642,1.7662768377572848,0.00552379728948571,1
2021-08-10,A,157.22,157.61,155.88,156.53,-1,151.8825,147.6924,128.86015,75.30157610244885,146.214369796837,151.8825,157.550630203163,2.491374190349717,0.2588546207087621,2.2325195696409548,1.7636856350603372,-0.00012775471095505253,1
2021-08-11,A,156.84,157.02,155.83,156.5,-1,152.27800000000002,148.0786,129.11180000000002,75.08330436998543,146.47493511105793,152.27800000000002,158.0810648889421,2.5088579945594915,0.22107073993482906,2.2877872546246625,1.7227080896988842,-0.00019165655145980676,1
2021-08-12,A,156.59,158.54,156.07,158.15,-1,152.7375,148.5104,129.37945,78.7343658076727,146.59519844267948,152.7375,158.87980155732055,2.625589089087839,0.27024146757054135,2.3553476215172977,1.776086083291821,0.010543130990415372,1
2021-08-13,A,158.36,159.3,157.43,159.25,-1,153.25349999999997,148.9676,129.6455,80.75859169110868,146.7355433456965,153.25349999999997,159.77145665430345,2.7748731193982223,0.3356203983047399,2.4392527210934825,1.7827942201995486,0.006955422067657313,1
